symbol,organ_name,icb_name,exchange
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,HOSE
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,VN30
BNA,Công ty Cổ phần Tập đoàn Đầu tư Bảo Ngọc,Hàng Tiêu dùng,HNX
BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,Công nghiệp,HNX
CKV,Công ty Cổ phần CokyVina,Công nghệ Thông tin,HNX
DHG,Công ty Cổ phần Dược Hậu Giang,Dược phẩm và Y tế,HOSE
BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Dịch vụ Tiêu dùng,HNX
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,Công nghiệp,HNX
CSC,Công ty Cổ phần Tập đoàn COTANA,Công nghiệp,HNX
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Nguyên vật liệu,HOSE
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,HOSE
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Công nghiệp,HOSE
CAG,Công ty Cổ phần Cảng An Giang,Công nghiệp,HNX
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,Tài chính,HOSE
CTF,Công ty Cổ phần City Auto,Hàng Tiêu dùng,HOSE
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Nguyên vật liệu,HOSE
CDC,Công ty Cổ phần Chương Dương,Công nghiệp,HOSE
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp,HOSE
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Nguyên vật liệu,HOSE
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Tài chính,HOSE
EID,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Dịch vụ Tiêu dùng,HNX
EVG,Công ty Cổ phần Tập đoàn Everland,Công nghiệp,HOSE
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Công nghệ Thông tin,HOSE
DC4,Công ty Cổ phần Xây dựng DIC Holdings,Công nghiệp,HOSE
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Hàng Tiêu dùng,HOSE
BRC,Công ty Cổ phần Cao su Bến Thành,Nguyên vật liệu,HOSE
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Tài chính,HOSE
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Nguyên vật liệu,HOSE
BST,Công ty Cổ phần Sách và Thiết bị Bình Thuận,Dịch vụ Tiêu dùng,HNX
FCN,Công ty Cổ phần FECON,Công nghiệp,HOSE
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Tài chính,HOSE
NO1,Công ty Cổ phần Tâp đoàn 911,Công nghiệp,HOSE
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,HOSE
FIT,Công ty Cổ phần Tập đoàn F.I.T,Dược phẩm và Y tế,HOSE
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,HOSE
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,VN30
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Công nghiệp,HNX
ATS,Công ty Cổ phần Tập đoàn Đầu tư ATS,Dịch vụ Tiêu dùng,HNX
DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ Tiêu dùng,HNX
DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược phẩm và Y tế,HNX
AMV,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Dược phẩm và Y tế,HNX
ADC,Công ty Cổ phần Mĩ thuật và Truyền thông,Dịch vụ Tiêu dùng,HNX
FMC,Công ty Cổ phần Thực phẩm Sao Ta,Hàng Tiêu dùng,HOSE
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,HOSE
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,VN30
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,HOSE
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Dịch vụ Tiêu dùng,HNX
DSC,Công ty Cổ phần Chứng khoán DSC,Tài chính,HOSE
ANV,Công ty Cổ phần Nam Việt,Hàng Tiêu dùng,HOSE
EVE,Công ty Cổ phần Everpia,Hàng Tiêu dùng,HOSE
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Nguyên vật liệu,HOSE
APG,Công ty Cổ phần Chứng khoán APG,Tài chính,HOSE
DSE,Công ty Cổ phần Chứng khoán DNSE,Tài chính,HOSE
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,HOSE
ADP,Công ty Cổ phần Sơn Á Đông,Công nghiệp,HOSE
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Công nghiệp,HOSE
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Hàng Tiêu dùng,HOSE
ICT,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Công nghệ Thông tin,HOSE
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Tài chính,HNX
CLL,Công ty Cổ phần Cảng Cát Lái,Công nghiệp,HOSE
BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,Công nghiệp,HNX
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Hàng Tiêu dùng,HOSE
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,Nguyên vật liệu,HOSE
DHA,Công ty Cổ phần Hóa An,Công nghiệp,HOSE
DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Nguyên vật liệu,HOSE
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công nghiệp,HOSE
GDW,Công ty Cổ phần Cấp nước Gia Định,Tiện ích Cộng đồng,HNX
C32,Công ty Cổ phần CIC39,Công nghiệp,HOSE
D11,Công ty Cổ phần Địa ốc 11,Tài chính,HNX
C47,Công ty Cổ phần Xây dựng 47,Công nghiệp,HOSE
GMA,Công ty Cổ phần G-Automobile,Hàng Tiêu dùng,HNX
CTC,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,Dịch vụ Tiêu dùng,HNX
VTZ,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu,HNX
BSI,Công ty Cổ phần Chứng khoán BIDV,Tài chính,HOSE
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,HOSE
DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,Dịch vụ Tiêu dùng,HNX
BMI,Tổng Công ty Cổ phần Bảo Minh,Tài chính,HOSE
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công nghiệp,HOSE
CTP,Công ty Cổ phần Hoà Bình Takara,Hàng Tiêu dùng,HNX
CLC,Công ty Cổ phần Cát Lợi,Hàng Tiêu dùng,HOSE
BCC,Công ty Cổ phần Xi măng Bỉm Sơn,Công nghiệp,HNX
CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,Tài chính,HOSE
